School name,ASP,AA,School Type,Regional council,Territorial authority,Financial Service Provider,Location
Churton Park School #2824,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Wellington City,Accounting For Schools,"-41.20847, 174.808278"
Epuni Primary School #2836,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Lower Hutt City,Education Services,"-41.209258, 174.933369"
Houghton Valley School #2861,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Wellington City,Education Services,"-41.334153, 174.78765"
Linden School #2890,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Wellington City,Education Services,"-41.159351, 174.835441"
Miramar Central School #2915,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Wellington City,Education Services,"-41.314335, 174.818705"
Miramar North School #2916,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Wellington City,Education Services,"-41.303907, 174.824236"
Ngati Toa School #2928,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Porirua City,Education Services,"-41.117482, 174.835256"
Northland School #2931,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Wellington City,Education Services,"-41.280654, 174.760123"
Paremata School #2950,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Porirua City,Education Services,"-41.106972, 174.86826"
Maungaraki School #2968,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Lower Hutt City,Education Services,"-41.209627, 174.87814"
Rata Street School #2973,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Lower Hutt City,Chapman Upchurch Ltd,"-41.199385, 174.956529"
Te Aro School #3037,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Wellington City,Education Services,"-41.293332, 174.769203"
Titahi Bay Intermediate #3043,Deloitte Limited,Hamish Anton,Intermediate/Restricted Composite - State,Wellington Region,Porirua City,Education Services,"-41.114252, 174.842312"
Titahi Bay North School #3044,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Porirua City,Education Services,"-41.102159, 174.843226"
Tui Glen School #3051,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Lower Hutt City,Education Services,"-41.169496, 174.983215"
Waterloo School #3068,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Lower Hutt City,Accounting For Schools,"-41.21539, 174.924381"
Wilford School #3072,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Lower Hutt City,Education Services,"-41.223419, 174.890736"
Windley School #3074,Deloitte Limited,Hamish Anton,Primary - State,Wellington Region,Porirua City,Education Services,"-41.140932, 174.859128"
Columba College #386,Deloitte Limited,Heidi Rautjoki,Composite - State : Integrated,Otago Region,Dunedin City,Deloittes,"-45.863466, 170.493983"
John McGlashan College #387,Deloitte Limited,Heidi Rautjoki,Secondary - State : Integrated,Otago Region,Dunedin City,In-House provision,"-45.85568, 170.497833"
Kavanagh College #536,Deloitte Limited,Heidi Rautjoki,Secondary - State : Integrated,Otago Region,Dunedin City,Solutions and Services,"-45.873943, 170.496588"
Dunedin Rudolf Steiner School #1192,Deloitte Limited,Heidi Rautjoki,Primary - State : Integrated,Otago Region,Dunedin City,In-House provision,"-45.859004, 170.565766"
Abbotsford School #3700,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.893498, 170.417989"
Alexandra School #3701,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Central Otago District,Solutions and Services,"-45.255325, 169.389801"
Ardgowan School #3704,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Waitaki District,Solutions and Services,"-45.061243, 170.967238"
Arthur Street School #3706,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Dunedin City,Accounting For Schools,"-45.872617, 170.49515"
Balaclava School #3709,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.888608, 170.467181"
Balmacewan Intermediate #3711,Deloitte Limited,Heidi Rautjoki,Intermediate/Restricted Composite - State,Otago Region,Dunedin City,Moore Markhams Otago,"-45.85924, 170.489862"
Bradford School #3716,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.876146, 170.467373"
Concord School #3727,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Dunedin City,The School Office,"-45.903474, 170.454303"
Five Forks School #3738,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Waitaki District,Solutions and Services,"-45.050518, 170.770568"
Grants Braes School #3742,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.884426, 170.53346"
Green Island School #3743,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Dunedin City,The School Office,"-45.90477, 170.429455"
Halfway Bush School #3745,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.857001, 170.465984"
Macandrew Bay School #3762,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Dunedin City,The School Office,"-45.869697, 170.597765"
Maheno School #3765,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Waitaki District,Solutions and Services,"-45.167295, 170.834255"
North East Valley Normal School #3783,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Dunedin City,Accounting For Schools,"-45.849266, 170.530524"
Te Pākihi o Maru #3785,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Waitaki District,Solutions and Services,"-45.091738, 170.971467"
Papakaio School #3798,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Waitaki District,Solutions and Services,"-44.989901, 170.979614"
Pine Hill School #3801,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.846459, 170.518163"
Poolburn School #3802,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Central Otago District,Solutions and Services,"-45.137217, 169.696295"
Saint Bernadette's School (Forbury) #3819,Deloitte Limited,Heidi Rautjoki,Primary - State : Integrated,Otago Region,Dunedin City,Solutions and Services,"-45.899843, 170.484353"
Saint Brigid's School (Dunedin) #3820,Deloitte Limited,Heidi Rautjoki,Primary - State : Integrated,Otago Region,Dunedin City,The School Office,"-45.898059, 170.527675"
Saint Francis Xavier School (Mornington) #3822,Deloitte Limited,Heidi Rautjoki,Primary - State : Integrated,Otago Region,Dunedin City,Solutions and Services,"-45.888904, 170.476151"
Totara School #3847,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Waitaki District,Solutions and Services,"-45.119587, 170.896877"
Wakari School #3859,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Dunedin City,Solutions and Services,"-45.856391, 170.479808"
Remarkables Primary School #6783,Deloitte Limited,Heidi Rautjoki,Primary - State,Otago Region,Queenstown-Lakes District,Solutions and Services,"-45.022927, 168.731799"
Saint Thomas Of Canterbury College #331,Nexia New Zealand,Jane Jackman,Secondary - State : Integrated,Canterbury Region,Christchurch City,In-House provision,"-43.533612, 172.556212"
Akaroa Area School #350,Nexia New Zealand,Jane Jackman,Composite - State,Canterbury Region,Christchurch City,Solutions and Services,"-43.811179, 172.962434"
Geraldine High School #352,Nexia New Zealand,Jane Jackman,Secondary - State,Canterbury Region,Timaru District,Accounting For Schools,"-44.091799, 171.248558"
Mackenzie College #353,Nexia New Zealand,Jane Jackman,Secondary - State,Canterbury Region,Mackenzie District,Solutions and Services,"-44.101614, 170.825165"
Opihi College #354,Nexia New Zealand,Jane Jackman,Secondary - State,Canterbury Region,Timaru District,Solutions and Services,"-44.23971, 171.293655"
Craighead Diocesan School #357,Nexia New Zealand,Jane Jackman,Secondary - State : Integrated,Canterbury Region,Timaru District,In-House provision,"-44.388302, 171.225493"
Roncalli College #358,Nexia New Zealand,Jane Jackman,Secondary - State : Integrated,Canterbury Region,Timaru District,Solutions and Services,"-44.402798, 171.245982"
Mountainview High School #359,Nexia New Zealand,Jane Jackman,Secondary - State,Canterbury Region,Timaru District,Solutions and Services,"-44.376707, 171.219535"
Timaru Boys' High School #360,Nexia New Zealand,Jane Jackman,Secondary - State,Canterbury Region,Timaru District,Solutions and Services,"-44.400183, 171.230188"
Timaru Girls' High School #361,Nexia New Zealand,Jane Jackman,Secondary - State,Canterbury Region,Timaru District,Solutions and Services,"-44.405382, 171.244212"
Tuakau College #106,PKF Hamilton Audit Limited,Johann van Loggerenberg,Secondary - State,Waikato Region,Waikato District,Education Services,"-37.263023, 174.93426"
Te Kauwhata College #115,PKF Hamilton Audit Limited,Johann van Loggerenberg,Secondary - State,Waikato Region,Waikato District,Unknown Service Provider,"-37.400837, 175.151096"
Huntly College #119,PKF Hamilton Audit Limited,Johann van Loggerenberg,Secondary - State,Waikato Region,Waikato District,The School Office,"-37.562095, 175.15226"
Fairfield College #129,PKF Hamilton Audit Limited,Johann van Loggerenberg,Secondary - State,Waikato Region,Hamilton City,Solutions and Services,"-37.76277, 175.27696"
Hamilton Boys' High School #131,PKF Hamilton Audit Limited,Johann van Loggerenberg,Secondary - State,Waikato Region,Hamilton City,In-House provision,"-37.784988, 175.294802"
Hamilton Girls' High School #132,PKF Hamilton Audit Limited,Johann van Loggerenberg,Secondary - State,Waikato Region,Hamilton City,Accounting For Schools,"-37.789062, 175.277353"
Fraser High School #135,PKF Hamilton Audit Limited,Johann van Loggerenberg,Secondary - State,Waikato Region,Hamilton City,Solutions and Services,"-37.784283, 175.244737"
Hillcrest High School #138,PKF Hamilton Audit Limited,Johann van Loggerenberg,Secondary - State,Waikato Region,Hamilton City,Accounting For Schools,"-37.793283, 175.32629"
Waikato Diocesan School For Girls #140,PKF Hamilton Audit Limited,Johann van Loggerenberg,Secondary - State : Integrated,Waikato Region,Hamilton City,In-House provision,"-37.764497, 175.267808"
Cambridge High School #142,PKF Hamilton Audit Limited,Johann van Loggerenberg,Secondary - State,Waikato Region,Waipa District,The School Office,"-37.878116, 175.470878"
Te Awamutu College #146,PKF Hamilton Audit Limited,Johann van Loggerenberg,Secondary - State,Waikato Region,Waipa District,SRN Partners Chartered Accountants Ltd,"-38.006315, 175.314937"
Te Kura Amorangi o Whakawatea #282,PKF Hamilton Audit Limited,Johann van Loggerenberg,Primary - State - Kura/character,Waikato Region,Waipa District,Education Services,"-37.82414, 175.271398"
Hamilton Christian School #451,PKF Hamilton Audit Limited,Johann van Loggerenberg,Composite - State : Integrated,Waikato Region,Hamilton City,Schooled - Auckland East,"-37.721434, 175.26086"
Putaruru College #494,PKF Hamilton Audit Limited,Johann van Loggerenberg,Secondary - State,Waikato Region,South Waikato District,Education Services,"-38.04016, 175.786837"
Tai Wananga #632,PKF Hamilton Audit Limited,Johann van Loggerenberg,Secondary - State - Kura/character,Waikato Region,Hamilton City,Education Services,"-37.775345, 175.305794"
Nga Purapura o te Aroha #641,PKF Hamilton Audit Limited,Johann van Loggerenberg,Composite - State - Kura/character,Waikato Region,Waipa District,Education Services,"-38.003127, 175.315985"
Rototuna Junior High School #708,PKF Hamilton Audit Limited,Johann van Loggerenberg,Intermediate/Restricted Composite - State,Waikato Region,Hamilton City,In-House provision,"-37.716113, 175.263497"
Te Kōpuku High #872,PKF Hamilton Audit Limited,Johann van Loggerenberg,Secondary - State - Kura/character,Waikato Region,Hamilton City,Davidson Dickson,"-37.755802, 175.234796"
Te Paina School #1372,PKF Hamilton Audit Limited,Johann van Loggerenberg,Primary - State,Waikato Region,Waikato District,Edtech,"-37.276205, 175.057254"
Te Kohanga School #1533,PKF Hamilton Audit Limited,Johann van Loggerenberg,Primary - State,Waikato Region,Waikato District,Edtech,"-37.312704, 174.845212"
Bishop Edward Gaines Catholic School #1607,PKF Hamilton Audit Limited,Johann van Loggerenberg,Primary - State,Waikato Region,South Waikato District,Education Services,"-38.223826, 175.877656"
Te Wharekura o Kirikiriroa #1718,PKF Hamilton Audit Limited,Johann van Loggerenberg,Composite - State - Kura/character,Waikato Region,Hamilton City,Unknown Service Provider,"-37.771224, 175.295695"
Hamilton East School #1731,PKF Hamilton Audit Limited,Johann van Loggerenberg,Primary - State,Waikato Region,Hamilton City,SRN Partners Chartered Accountants Ltd,"-37.78742, 175.290498"
Hamilton West School #1733,PKF Hamilton Audit Limited,Johann van Loggerenberg,Primary - State,Waikato Region,Hamilton City,In-House provision,"-37.798962, 175.283299"
Hautapu School #1735,PKF Hamilton Audit Limited,Johann van Loggerenberg,Primary - State,Waikato Region,Waipa District,SRN Partners Chartered Accountants Ltd,"-37.860469, 175.425207"
Matamata Primary School #1813,PKF Hamilton Audit Limited,Johann van Loggerenberg,Primary - State,Waikato Region,Matamata-Piako District,Education Services,"-37.811744, 175.77682"
Matangi School #1814,PKF Hamilton Audit Limited,Johann van Loggerenberg,Primary - State,Waikato Region,Waikato District,Accounting For Schools,"-37.803586, 175.393697"
Morrinsville Intermediate #1833,PKF Hamilton Audit Limited,Johann van Loggerenberg,Intermediate/Restricted Composite - State,Waikato Region,Matamata-Piako District,Education Services,"-37.647585, 175.534972"
Nawton School #1841,PKF Hamilton Audit Limited,Johann van Loggerenberg,Primary - State,Waikato Region,Hamilton City,Education Services,"-37.779882, 175.241733"
Ohaupo School #1855,PKF Hamilton Audit Limited,Johann van Loggerenberg,Primary - State,Waikato Region,Waipa District,Accounting For Schools,"-37.905314, 175.315726"
Saint Joseph's Catholic School (Matamata) #1947,PKF Hamilton Audit Limited,Johann van Loggerenberg,Primary - State : Integrated,Waikato Region,Matamata-Piako District,Education Services,"-37.813278, 175.777829"
Saint Mary's-Bishop Edward Gaines Combined Schools Board #1957,PKF Hamilton Audit Limited,Johann van Loggerenberg,Primary - State : Integrated,Waikato Region,South Waikato District,Graham Brown & Co. Limited,"-38.047376, 175.77944"
Saint Mary's-Bishop Edward Gaines Combined Schools Board #1957,PKF Hamilton Audit Limited,Johann van Loggerenberg,Primary - State : Integrated,Waikato Region,South Waikato District,Graham Brown & Co. Limited,"-38.047376, 175.77944"
Te Wharekura o Te Rau Aroha #3115,PKF Hamilton Audit Limited,Johann van Loggerenberg,Composite - State - Kura/character,Waikato Region,Matamata-Piako District,Davidson Dickson,"-37.668709, 175.675173"
Melville Year 7–13 College #3612,PKF Hamilton Audit Limited,Johann van Loggerenberg,Secondary - State,Waikato Region,Hamilton City,Solutions and Services,"-37.816878, 175.281521"
Orewa College #25,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Hibiscus and Bays,In-House provision,"-36.591698, 174.689747"
Long Bay College #27,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Hibiscus and Bays,Solutions and Services,"-36.691395, 174.738757"
Rangitoto College #28,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Upper Harbour,In-House provision,"-36.737197, 174.736684"
Northcote College #32,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Kaipatiki,Sheryl McGregor,"-36.808881, 174.733677"
Takapuna Grammar School #36,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Devonport-Takapuna,In-House provision,"-36.800616, 174.788477"
Westlake Boys' High School #37,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Devonport-Takapuna,In-House provision,"-36.777366, 174.749491"
Westlake Girls' High School #38,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Devonport-Takapuna,In-House provision,"-36.782458, 174.752309"
Rutherford College #40,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Henderson-Massey,Schooled - Auckland West,"-36.85259, 174.646309"
Macleans College #41,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Howick,SAJ Services Limited,"-36.882722, 174.914424"
Waitakere College #44,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Henderson-Massey,Schooled - Auckland West,"-36.867097, 174.620712"
Henderson High School #45,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Henderson-Massey,Schooled - Auckland West,"-36.883656, 174.628205"
Auckland Girls' Grammar School #53,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Waitemata,School Finance Hub,"-36.856867, 174.753659"
Epsom Girls' Grammar School #64,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Albert-Eden,Edtech,"-36.876921, 174.776577"
Mount Albert Grammar School #69,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Albert-Eden,Edtech,"-36.884707, 174.725349"
Mount Roskill Grammar #74,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Puketapapa,In-House provision,"-36.912708, 174.747139"
Avondale College #78,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Whau,In-House provision,"-36.891482, 174.691137"
Kelston Girls' College #84,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Whau,Schooled - Auckland West,"-36.908063, 174.664361"
Howick College #87,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Howick,SAJ Services Limited,"-36.90657, 174.939278"
Otahuhu College #88,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Mangere-Otahuhu,SAJ Services Limited,"-36.953118, 174.840645"
Aorere College #96,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Otara-Papatoetoe,Unknown Service Provider,"-36.981416, 174.833081"
Manurewa High School #99,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Manurewa,Sheryl Lane Chartered Accountants,"-37.011253, 174.882302"
Rosehill College #102,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Papakura,In-House provision,"-37.076585, 174.936559"
Kadimah School #453,Crowe New Zealand Audit Partnership,Kurt Sherlock,Primary - State : Integrated,Auckland Region,Auckland - Orakei,SAJ Services Limited,"-36.880921, 174.805237"
Sancta Maria Catholic Primary School #618,Crowe New Zealand Audit Partnership,Kurt Sherlock,Primary - State : Integrated,Auckland Region,Auckland - Howick,Education Services,"-36.959994, 174.903914"
Bucklands Beach Primary School #1241,Crowe New Zealand Audit Partnership,Kurt Sherlock,Primary - State,Auckland Region,Auckland - Howick,Education Services,"-36.865755, 174.908001"
Epsom Normal School #1270,Crowe New Zealand Audit Partnership,Kurt Sherlock,Primary - State,Auckland Region,Auckland - Albert-Eden,Education Services,"-36.890747, 174.770541"
Flatbush School #1277,Crowe New Zealand Audit Partnership,Kurt Sherlock,Primary - State,Auckland Region,Auckland - Otara-Papatoetoe,Sheryl Lane Chartered Accountants,"-36.97529, 174.883673"
Good Shepherd School (Balmoral) #1297,Crowe New Zealand Audit Partnership,Kurt Sherlock,Primary - State : Integrated,Auckland Region,Auckland - Albert-Eden,Education Services,"-36.891182, 174.743509"
Henderson School #1309,Crowe New Zealand Audit Partnership,Kurt Sherlock,Primary - State,Auckland Region,Auckland - Henderson-Massey,Schooled - Auckland West,"-36.881193, 174.63628"
Kowhai Intermediate #1337,Crowe New Zealand Audit Partnership,Kurt Sherlock,Intermediate/Restricted Composite - State,Auckland Region,Auckland - Albert-Eden,Kulesh deSilva,"-36.872187, 174.748562"
Maungawhau School #1367,Crowe New Zealand Audit Partnership,Kurt Sherlock,Primary - State,Auckland Region,Auckland - Albert-Eden,Edtech,"-36.891909, 174.754176"
Orewa North School #1406,Crowe New Zealand Audit Partnership,Kurt Sherlock,Primary - State,Auckland Region,Auckland - Hibiscus and Bays,Edtech,"-36.579615, 174.688479"
Pakuranga Intermediate #1417,Crowe New Zealand Audit Partnership,Kurt Sherlock,Intermediate/Restricted Composite - State,Auckland Region,Auckland - Howick,Schooled - Auckland East,"-36.914181, 174.876417"
Papatoetoe Intermediate #1428,Crowe New Zealand Audit Partnership,Kurt Sherlock,Intermediate/Restricted Composite - State,Auckland Region,Auckland - Otara-Papatoetoe,Unknown Service Provider,"-36.961663, 174.854483"
Saint John The Evangelist School (Otara) #1491,Crowe New Zealand Audit Partnership,Kurt Sherlock,Primary - State : Integrated,Auckland Region,Auckland - Otara-Papatoetoe,Money Monitors,"-36.961253, 174.869759"
Saint Mary's School (Avondale) #1503,Crowe New Zealand Audit Partnership,Kurt Sherlock,Primary - State : Integrated,Auckland Region,Auckland - Whau,Schooled - Auckland West,"-36.901674, 174.693382"
Our Lady Star of The Sea (Howick) #1514,Crowe New Zealand Audit Partnership,Kurt Sherlock,Primary - State : Integrated,Auckland Region,Auckland - Howick,School Finance Hub,"-36.919424, 174.922995"
Alfriston College #6929,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Manurewa,Edtech,"-37.017649, 174.919792"
Botany Downs Secondary College #6930,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Howick,In-House provision,"-36.934108, 174.915446"
Hobsonville Point Combined Board #6977,Crowe New Zealand Audit Partnership,Kurt Sherlock,Secondary - State,Auckland Region,Auckland - Upper Harbour,school accounts limited,"-36.79409, 174.65521"
Sacred Heart Girls' College (Ham) #139,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Secondary - State : Integrated,Waikato Region,Hamilton City,Accounting For Schools,"-37.791585, 175.29528"
Waipa Christian School #266,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State : Integrated,Waikato Region,Waipa District,Accounting For Schools,"-38.021232, 175.329509"
Waikato Waldorf School (Rudolf Steiner) #539,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Composite - State : Integrated,Waikato Region,Hamilton City,Education Services,"-37.725574, 175.280722"
Te Ao Marama School #780,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Hamilton City,SRN Partners Chartered Accountants Ltd,"-37.720396, 175.239699"
Deanwell School #1710,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Hamilton City,Education Services,"-37.81988, 175.275621"
Fairfield Intermediate #1715,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Intermediate/Restricted Composite - State,Waikato Region,Hamilton City,SRN Partners Chartered Accountants Ltd,"-37.763347, 175.285143"
Forest Lake School #1720,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Hamilton City,Unknown Service Provider,"-37.770336, 175.255939"
Glen Massey School #1723,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Waikato District,Education Services,"-37.673206, 175.075906"
Gordonton School #1728,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Waikato District,Education Services,"-37.666548, 175.30798"
Hamilton North School #1732,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Special School - State,Waikato Region,Hamilton City,Education Services,"-37.755169, 175.255766"
Hinuera School #1741,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Matamata-Piako District,Education Services,"-37.880686, 175.75781"
Horotiu School #1746,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Waikato District,Education Services,"-37.70081, 175.204649"
Horsham Downs School #1747,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Waikato District,Education Services,"-37.699827, 175.248986"
Te Kura Kaupapa Maori O Huiarau #1748,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Composite - State - Kura/character,Bay of Plenty Region,Whakatane District,Xero 4 Schools Limited,"-38.606848, 176.95622"
Karapiro School #1764,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Waipa District,Education Services,"-37.915616, 175.55361"
Kio Kio School #1779,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Otorohanga District,Bailey Ingham Limited,"-38.162046, 175.276714"
Ngakonui Valley School #1845,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Manawatu-Wanganui Region,Ruapehu District,Eclypse,"-38.822018, 175.315069"
Patricia Avenue School #1891,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Special School - State,Waikato Region,Hamilton City,Education Services,"-37.786101, 175.301528"
Puketaha School #1907,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Waikato District,Education Services,"-37.720063, 175.327519"
Pukete School #1908,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Hamilton City,SRN Partners Chartered Accountants Ltd,"-37.745151, 175.240436"
Rangiriri School #1919,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State - Kura/character,Waikato Region,Waikato District,Education Services,"-37.429865, 175.132756"
Ruawaro Combined School #1937,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Waikato District,Education Services,"-37.527585, 175.041165"
Rukuhia School #1938,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Waipa District,Education Services,"-37.853589, 175.299799"
Saint Anthony's Catholic School (Huntly) #1943,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State : Integrated,Waikato Region,Waikato District,Education Services,"-37.537154, 175.162578"
Saint Joseph's Catholic School (Morrinsville) #1949,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State : Integrated,Waikato Region,Matamata-Piako District,East Consulting,"-37.65486, 175.532269"
Saint Joseph's Catholic School (Te Kuiti) #1953,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State : Integrated,Waikato Region,Waitomo District,Education Finance,"-38.340262, 175.164606"
Saint Peter Chanel Catholic School (Hamilton) #1964,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State : Integrated,Waikato Region,Hamilton City,Education Services,"-37.76428, 175.253233"
Taupo School #1989,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Taupo District,Xero 4 Schools Limited,"-38.687286, 176.073775"
Tauwhare School #1995,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Waikato District,Education Services,"-37.77285, 175.455519"
Te Kowhai School #2007,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Waikato District,SRN Partners Chartered Accountants Ltd,"-37.739282, 175.153338"
Turaki School #2040,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Manawatu-Wanganui Region,Ruapehu District,Peak Chartered Accountants,"-38.886258, 175.268344"
Waikaretu School #2052,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Waikato District,Education Services,"-37.543431, 174.83214"
Whatawhata School #2087,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Waikato District,Education Services,"-37.792271, 175.157421"
Hamilton Seventh-Day Adventist School #4105,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State : Integrated,Waikato Region,Waikato District,Education Services,"-37.806791, 175.338495"
South City Christian School #4125,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State : Integrated,Waikato Region,Waipa District,Education Services,"-37.821909, 175.268758"
Rototuna Primary School #6976,Owen McLeod and Co. Limited,Liyan (Zoe) Yao,Primary - State,Waikato Region,Hamilton City,SRN Partners Chartered Accountants Ltd,"-37.732342, 175.276571"
Tamatea High School #218,Oldershaw & Co Chartered Accountants,Marc Nel,Secondary - State,Hawke's Bay Region,Napier City,Education Services,"-39.51829, 176.870976"
